,Unnamed: 0,Price,Rooms,Area,Floor,Location,Num_Rooms,Num_Halls,District
2700,2700,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2701,2701,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2702,2702,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2703,2703,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
2704,2704,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
2705,2705,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
2706,2706,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
2707,2707,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
2708,2708,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
2709,2709,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2710,2710,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2711,2711,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
2712,2712,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
2713,2713,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2714,2714,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
2715,2715,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2716,2716,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
2717,2717,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
2718,2718,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2719,2719,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
2720,2720,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
2721,2721,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2722,2722,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
2723,2723,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
2724,2724,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2725,2725,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2726,2726,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2727,2727,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
2728,2728,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
2729,2729,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
2730,2730,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
2731,2731,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
2732,2732,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
2733,2733,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
